City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,290.92,83,0,4.69,ZA,1633710878
Maués,-3.3836,-57.7186,308.85,41,99,0.93,BR,1633710763
Kahului,20.8947,-156.47,295.79,86,40,4.63,US,1633710881
Vaini,-21.2,-175.2,296.24,100,40,0,TO,1633710882
Rikitea,-23.1203,-134.9692,296.35,75,76,3.41,PF,1633710870
Albany,42.6001,-73.9662,292.87,80,57,1.74,US,1633710865
Mishkino,55.3389,63.9175,278.66,53,5,5.38,RU,1633710754
Barrow,71.2906,-156.7887,273.16,80,90,7.72,US,1633710887
Havelock,34.8791,-76.9013,298.65,87,98,0.89,US,1633710889
Ubari,26.5921,12.7805,302.92,15,0,5.31,LY,1633710890
Rawson,-43.3002,-65.1023,296.98,18,0,8.04,AR,1633710892
Castro,-24.7911,-50.0119,295.44,64,80,1.31,BR,1633710893
Pangnirtung,66.1451,-65.7125,273.15,86,90,2.57,CA,1633710895
Vallenar,-28.5708,-70.7581,294.25,30,1,4.61,CL,1633710619
Yar-Sale,66.8333,70.8333,275.65,84,100,10.13,RU,1633710897
Virginia Beach,36.8529,-75.978,296.73,75,75,0.45,US,1633710855
Caorle,45.5966,12.8758,289.92,70,86,11.93,IT,1633710901
Poum,-20.2333,164.0167,295.33,74,60,5.61,NC,1633710903
Vestmanna,62.1564,-7.1664,283.66,100,90,5.66,FO,1633710905
Ushuaia,-54.8,-68.3,277.96,87,75,17.49,AR,1633710906
Kidal,18.4411,1.4078,309.61,8,1,5.51,ML,1633710908
Mayo,38.8876,-76.5119,297.38,63,1,0.45,US,1633710909
Punta Arenas,-53.15,-70.9167,283.21,46,20,18.01,CL,1633710694
Katobu,-4.9408,122.5276,298.32,82,94,1.2,ID,1633710912
Mar del Plata,-38.0023,-57.5575,286.53,66,0,2.68,AR,1633710913
Atuona,-9.8,-139.0333,298.65,75,28,7.42,PF,1633710915
Hithadhoo,-0.6,73.0833,301.6,70,85,4.25,MV,1633710916
Avarua,-21.2078,-159.775,291.18,94,79,0.51,CK,1633710877
Bredasdorp,-34.5322,20.0403,292.77,52,91,7.72,ZA,1633710875
Torbay,47.6666,-52.7314,279.5,87,90,8.23,CA,1633710642
Hermanus,-34.4187,19.2345,291.37,78,87,6.34,ZA,1633710922
Vestmannaeyjar,63.4427,-20.2734,283.7,93,90,9.77,IS,1633710923
Sinnamary,5.3833,-52.95,304.17,62,56,5.56,GF,1633710925
Calamar,10.2511,-74.9146,306.12,52,10,2.69,CO,1633710926
Mataura,-46.1927,168.8643,282.86,100,100,1.3,NZ,1633710928
Ponta Delgada,37.7333,-25.6667,296.55,64,20,5.14,PT,1633710857
Kaitangata,-46.2817,169.8464,282.18,97,99,2.47,NZ,1633710931
Katsuura,35.1333,140.3,295.91,86,3,3.37,JP,1633710933
Grand-Lahou,5.1367,-5.0242,300.23,79,99,3.41,CI,1633710934
Bengkulu,-3.8004,102.2655,297.64,89,67,2.63,ID,1633710935
Hatillo,18.4863,-66.8254,304.72,71,2,4.02,PR,1633710937
Chui,-33.6971,-53.4616,288.11,50,16,4.63,UY,1633710938
Hervey Bay,-25.2986,152.8535,290.94,86,1,2.95,AU,1633710939
Kindu,-2.95,25.95,297.79,73,54,1.18,CD,1633710941
Bethel,41.3712,-73.414,295.06,75,90,0,US,1633710938
